country,year,region,PIP: Gini – all observations,WID: Top 1pc share – pretax – all observations,PIP: Gini – only matching observations,WID: Top 1pc share – pretax – only matching observations
Argentina,1980,LAC,40.83086045604474,13.98,40.83086045604474,13.98
Argentina,2018,LAC,41.3424983747329,14.499999999999998,41.3424983747329,14.499999999999998
Australia,1980,W. Offshoots,,5.800000000000001,,5.800000000000001
Australia,1981,W. Offshoots,31.32578703020214,,31.32578703020214,
Australia,2018,W. Offshoots,34.33376217623682,11.23,34.33376217623682,11.23
Bangladesh,1983,S & SE Asia,25.87648986599902,11.64,25.87648986599902,11.64
Bangladesh,2016,S & SE Asia,32.38527251961526,16.150000000000002,32.38527251961526,16.150000000000002
Belgium,1985,W. Europe,25.20385152739536,7.5,25.20385152739536,7.5
Belgium,2017,W. Europe,,8.5,,8.5
Belgium,2018,W. Europe,27.214413739767977,,27.214413739767977,
Bosnia and Herzegovina,1980,EE & CA,,6.9,,
Bosnia and Herzegovina,2015,EE & CA,,9.86,,
Botswana,1985,SS Africa,54.21210548710371,21.8,54.21210548710371,21.8
Botswana,2015,SS Africa,53.32502673276544,22.74,53.32502673276544,22.74
Brazil,1980,LAC,,23.74,,23.74
Brazil,1981,LAC,57.93085113621365,,57.93085113621365,
Brazil,2018,LAC,53.87094736890694,20.68,53.87094736890694,20.68
Bulgaria,1980,EE & CA,,3.29,,
Bulgaria,2018,EE & CA,,19.06,,
Canada,1980,W. Offshoots,,9.66,,9.66
Canada,1981,W. Offshoots,32.4386360480684,,32.4386360480684,
Canada,2017,W. Offshoots,33.30820627166964,,33.30820627166964,
Canada,2018,W. Offshoots,,13.95,,13.95
China,1980,East Asia,,6.569999999999999,,6.569999999999999
China,1981,East Asia,28.16409669780766,,28.16409669780766,
China,2016,East Asia,,14.05,,14.05
China,2018,East Asia,38.49764207266088,,38.49764207266088,
Colombia,1980,LAC,59.12672682099516,19.93,59.12672682099516,19.93
Colombia,2018,LAC,50.41870410395841,17.669999999999998,50.41870410395841,17.669999999999998
Costa Rica,1981,LAC,47.494762226075046,,,
Costa Rica,2018,LAC,47.96854727902833,,,
Cote d'Ivoire,1985,SS Africa,45.52626809927137,21.03,45.52626809927137,21.03
Cote d'Ivoire,2015,SS Africa,,17.21,,17.21
Cote d'Ivoire,2018,SS Africa,37.183563557452445,,37.183563557452445,
Croatia,1984,EE & CA,,4.17,,
Croatia,2018,EE & CA,,9.83,,
Czechia,1980,EE & CA,,2.56,,
Czechia,2018,EE & CA,,10.32,,
Denmark,1980,W. Europe,,6.9,,
Denmark,2017,W. Europe,,12.75,,
Egypt,1980,MENA,,15.95,,
Egypt,2016,MENA,,19.76,,
Ethiopia,1981,SS Africa,32.42495626626984,14.9,32.42495626626984,14.9
Ethiopia,2015,SS Africa,34.99312323123417,13.82,34.99312323123417,13.82
Finland,1980,W. Europe,,6.41,,
Finland,2017,W. Europe,,10.61,,
France,1978,W. Europe,35.16750482328107,,35.16750482328107,
France,1980,W. Europe,,8.33,,8.33
France,2018,W. Europe,32.38068846338816,9.73,32.38068846338816,9.73
Germany,1980,W. Europe,,9.84,,
Germany,2017,W. Europe,,13.19,,
Greece,1980,W. Europe,,9.91,,
Greece,2017,W. Europe,,11.0,,
Hong Kong,1981,East Asia,,13.33,,
Hong Kong,2016,East Asia,,17.849999999999998,,
Hungary,1980,EE & CA,,2.87,,
Hungary,2018,EE & CA,,10.97,,
Iceland,1980,W. Europe,,7.68,,
Iceland,2016,W. Europe,,8.55,,
India,1977,S & SE Asia,33.33664717155239,,33.33664717155239,
India,1980,S & SE Asia,,7.539999999999999,,7.539999999999999
India,2013,S & SE Asia,,22.0,,22.0
India,2018,S & SE Asia,34.58968626484365,,34.58968626484365,
